id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
3215,தொங்குனி,,toṅkuṉi,,திட்டுச்சொல். மிக அதிகமாகப் பொய் சொல்லுபவன்.,,அந்தத் தொங்குனிகிட்டப்போய் நெசத்த கறக்க முடியுமா?,பெயர்ச்சொல்,,,pm,
3216,தொச்சம்,,toccam,,"உடல் ஊனம்; அம்மா, அப்பா யாரேனுமோ இருவருமோ இல்லாத குறை.",,பையனுக்குக் காலுக் கொஞ்சம் தொச்சம். | எதாச்சும் தொச்சமிருக்கற ஊடாப் பாத்துத்தான் பொண்ணக்குடுக்கோனும்.,பெயர்ச்சொல்,,,pm,
3217,தொசக்கான்,,tocakkāṉ,,குண்டாக இருந்தாலும் உடல் பருமனற்று இருத்தல். | குண்டாக இருந்தும் உடல் பலமற்றவள் / ன்.,,எங்கியோ தொசக்கானா இருக்குற. | அவன் ஒரு தொசக்கான்.,பெயர்ச்சொல்,,,np | pm,
3218,தொசுக்குனு,,tocukkuṉu,,முடியாமல் கீழே விழுதல்.,,தொசுக்குனு உழுந்துட்டான்.,,,,np,
3219,தொட்டகட்டறது,,toṭṭakaṭṭaṟatu,,குழந்தை வேண்டி கோயிலில் மரத்தில் தொட்டிலை போன்று சிறு உருவம் மரத்தில் செய்து கட்டுதல்.,,கோயில்ல தொட்டகட்டோனு.,,,,np,
3220,தொட்டி உருளை,,toṭṭi uruḷai,,கிணற்றில் ஏற்றக்கால்களை இணைத்து இருக்கும் உருளை.,,ஏத்தம் எறச்சு முடிச்ச ஓடன தொட்டி உருளயக் கழட்டி வெச்சரோனும்.,பெயர்ச்சொல்,,,pm,
3221,தொட்டிக்கட்டு வீடு,,toṭṭikkaṭṭu vīṭu,,நாற்புறக் கூரைகளிலிருந்தும் நீர் வந்து விழும்படி மையம் கொண்ட வீடு.,,அவுங்களுது அந்தக் காலத்துத் தொட்டிக் கட்டு வீடு.,பெயர்ச்சொல்,,,pm,
3222,தொட்டிகட்டு,,toṭṭikaṭṭu,,,,,,home_household,,od,
3223,தொட்டிகட்டு ஊடு,,toṭṭikaṭṭu ūṭu,,தொட்டி போன்று நான்கு புறமும் வீடும் அதற்கு நடுவில் உச்சா இடமும். வெயில் அடித்தாலும் மழைபெய்தாலும் வீட்டிற்குள் விழும்.,,தொட்டி கட்டு ஊட்டுக்குப் போனொ.,,,,np,
3224,தொட்டு,,toṭṭu,,வேலிச் செடியை வெட்டி ஒன்றாக கட்டுதல்.(1) | காய்கறிகளின் மேற்புறத்தில் காம்பு ஒட்டியுள்ள பகுதி.(2) | நிலக்கடலைத் தோல் பகுதி.,,காட்டுல தொட்டு கட்டி பரம்படிச்சுடோனு. | கத்தரிக்கா தொட்டு எடுத்துப் போட்டுட்டு தின்னு. | கல்லக்காத் தொட்ட அள்ளிக் கொட்டு.,பெயர்ச்சொல்,,,np | pm,
