id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
4054,பொட்டிபலகாரம்,,poṭṭipalakāram,,திருமணத்திற்கு பின் பெண்களுக்கு சீர்வரிசையாக கொடுக்கும் பலகாரம்.,,,,,,np,
4055,பொட்டு,,poṭṭu,,பயறு வகைகள் செடியில் இருக்கும் போது பாதுகாப்பாக இருக் காய்த்தோல் சருகு ( இதனைப் பிரித்தெடுத்து ஆட்டுக்கு உணவாகத் தருவர்) .,,தொவரம் பொட்டு அள்ளி வெள்ளாட்டுக்கு வெய்யி .,பெயர்ச்சொல்,,,pm,
4056,பொட்டுப்போல இரு,,poṭṭuppōla iru,,காண்க : பொட்டாட்டம் இரு .,,,பெயர்ச்சொல்,,,pm,
4057,பொட்டுவெக்கிறெது,,poṭṭuvekkiṟetu,,திருமணத்தில் மணமகளுக்கு தாய்மாமன் திலகம் இடுவது.,,,,,,np,
4058,பொட்லி,,poṭli,,கோவில்களில் வேண்டுதலின் பொருட்டு நிறைவேற்றப்படும் எழுப்பப்படும் வேட்டுச்சத்தம்,,,,festival_religion,,od,
4059,பொடக்காலி,,poṭakkāli,,"வீட்டின் பின்புறம் | வீட்டின் பின்னுள்ள (குளிக்க , சிறுநீர் கழிப்பதற்கான ) இடம் .",backyard,பொடக்காலிப்பக்கம் இருட்டுல என்ன பன்ற.,பெயர்ச்சொல்,home_household,புறம் காலி என்பது காலி புறத்தின் முற்றுப் போலி,od | pm,
4060,பொடக்காவி,,poṭakkāvi,,வீட்டின் பின்புறமுள்ள (குளிக்கும்) இடம்.,,பொடக்காவில பாரு தண்ணி இருக்குது.,,,,np,
4061,பொடங்கு,,poṭaṅku,,பயிரை அறுவை செய்த பின் வேரிலிருந்து தழைத்து வரும் இரண்டாம் பயிர். | பயிரை அறு செய்தபின் அடி வேரிலிருந்து தழைந்து வரும் இரண்டாம் பயிர் .,,பொடங்கு மொளச்சு இருக்குது. | தண்ணி உட்டா பொடங்கு நல்லா வரும் .,பெயர்ச்சொல்,,,np | pm,
4062,பொடங்கெ,,poṭaṅke,,எதற்கும் ஒத்துவராதவன்.,,எங்கியோ சுத்தற பொடங்கனா இருக்கெ.,,,,np,
4063,பொடச்சுப்போடு,,poṭaccuppōṭu,,தானியங்களில் இருக்கும் கற்களை நீக்க முறத்தில் போட்டு புடைப்பது.,,,,,,np,
4064,பொடத்தி,,poṭatti,,ஆபத்து வரும்போது தப்பிப்பதற்காக வளையில் எலி வைத்திருக்கும் அவசரகால வழி .,,பொடத்தி எந்தப் பக்கம் இருக்குதுன்னு தெரிஞ்சா எலியப் புடிச்சிரலாம் .,பெயர்ச்சொல்,,,pm,
4065,பொடனி,பொடனை,poṭaṉi,poṭaṉai,பின்கழுத்து | தலையின் பின்புறம் | பின் கழுத்துப் பகுதி.,,"புடனி, பிடனி, பிடரி | பொடனிமேல ரெண்டு போடு அப்பதெ சும்மா இருப்பாப்பிடி. | பொடனிலயே அடி உழுந்திடுச்சு.",பெயர்ச்சொல்,body_health,,od | np | pm,
4066,பொடி,,poṭi,,வெயிலில் காய்ந்து . கால் வைக்க முடியாத அளவுக்க கொண்டுவிடும் தரை.,,காலே வெக்க முடியல . பொடிச் சுடுது .,பெயர்ச்சொல்,,,pm,
4067,பொடிக்கலரு,,poṭikkalaru,,காப்பி நிறம்.,,பொடிக்கலருலெ இருக்கு பாரு.,,,,np,
4068,பொடை,,poṭai,,கதிர் வெளிவரும் முன் பயிரின் நுனியில் தோகையால் மூடப்பட் புடைத்துத் தெரியும் பருவம் .,,கம்பு பொடை எடுத்து கட்டீருச்சா.,பெயர்ச்சொல்,,,pm,
4069,பொடைத்தல்,,poṭaittal,,வீங்குதல்.,,தலையிலெ அடிபட்டு பொடைச்சுகிச்சு.,,,,np,
4070,பொண்டுபுள்ளெ,,poṇṭupuḷḷe,,மனைவி மற்றும் குழந்தைகள்.,,பொண்டு புள்ளெயெ வெச்ச பொழெக்கத் தெரியாம வந்துட்டெ காம்போம் பேசெ.,,,,np,
4071,பொண்ணழப்பு,,poṇṇaḻappu,,காண்க. பொண்ணழைக்கிறெது.,,,,,,np,
4072,பொண்ணழைக்கிறெது,,poṇṇaḻaikkiṟetu,,மணமகளை அழைத்து வருதல்.,,பொண்ணழைக்கிறதற்கு போயிட்டு வர்ர.,,,,np,
4073,பொண்ணுப்பிள்ளை,,poṇṇuppiḷḷai,,மணமகள் .,,பொண்ணுப்பிள்ள பாக்க லச்சணமா இருக்கறா .,பெயர்ச்சொல்,,,pm,
4074,பொணப்புடுச்சவள் / ன்,,poṇappuṭuccavaḷ / ṉ,,எப்போதும் ஏதாவது ஒன்றிற்காக பிணக்குக் கொள்பவள் / ன்.,,அவ கெடக்கறா பொணப்புடுச்சவ.,பெயர்ச்சொல்,,,pm,
4075,பொணையல்,,poṇaiyal,,ஒன்றோடு ஒன்று அல்லது ஒருவரோடு ஒருவர் பின்னிக் கொள்தல் .,,அங்க ரண்டு பேரு பொணையல் போட்டுக்கிட்டுக் கெடக்கறாங்க .,பெயர்ச்சொல்,,,pm,
4076,பொணையல் பாம்பு,,poṇaiyal pāmpu,,ஒன்றோடொன்று பிணைந்து உறவு கொள்ளும் பாம்பு. | ஒன்றோடு ஒன்று பின்னிப் பிணைந்து உறவு கொள்ளும் நிலையிலிருக்கும் பாம்பு .,,பொணயல் பாம்போட்ட ரெண்டுமு சுத்துது. | பொணையல் பாம்பாட்டம் ரண்டு பேரும் கெடக்கறாங்க .,பெயர்ச்சொல்,,,np | pm,
4077,பொணையலு,,poṇaiyalu,,ஒன்றோடொன்று பிணைந்த.,,பாம்புகெ பாரு பொணையலு போட்ருக்குது.,,,,np,
4078,பொத்தபொழி,,pottapoḻi,,இரு காடுகளுக்கு இடையே பொதுவாக உள்ள பொழி.,,இந்தப் பொழி ரெண்டு பேருக்கு பொத்தபொழியாக்கு.,,,,np,
4079,பொத்தலு,,pottalu,,ஓட்டை.,,சட்டையிலெ பொத்தல் பொத்தலா இருக்கு.,,,,np,
4080,பொத்தாம்பொதுவா,,pottāmpotuvā,,இருவருக்கும் பொதுவில்.,,பொத்தாம் பொதுவா பேசறதுக்கு உன்னைக் கூப்புட்டா அவனுக்கே சப்போர்ட்டு பண்ணிகிட்டு இருக்குறெ.,,,,np,
4081,பொத்துதல்,,pottutal,,"கூடை , முறம் முதலியவற்றிற்குப் பனை நாரால் கட்டுப்போட்டுப் பழுது பார்த்தல் .",,கூட மொறமெல்லாம் பொத்தக் குடுக்கோனும் .,வினைச்சொல்,,,pm,
4082,பொத்தை,,pottai,,"பொத்தல் விழுந்த பயன்படாத நிலையில் இருக்கும் கூடை , முறம் போன்றவை .",,கூடையெல்லாம் பொத்தையாப் போச்சு .,பெயர்ச்சொல்,,,pm,
4083,பொதறு,,potaṟu,,புதர்.,,பொதறுக்குள்ளெ போகாதே பாம்பு உள்ளெ இருக்குது.,,,,np,
4084,பொதி,,poti,,மூன்று அல்லது நான்கு மூட்டை நெல் ஒரு பொதி எனப்படும் | நான்கு மூட்டை தானியம். இரண்டு மூடை வெல்லம் கொண்ட அளவு. | நான்கு மூட்டை தானியம் அல்லது இரண்டு மூட்டை வெல்லம் கொண்ட அளவு .,,அவங்கிட்ட ஒருபொதி பணொ இருக்குது. | கம்பு ரண்டு பொதி ஆவுமா .,பெயர்ச்சொல்,farming_livestock,,od | np | pm,
4085,பொதி எருது,,poti erutu,,பொதி மூட்டைகளை சுமக்கப் பயன்படும் எருது. | பொதி மூட்டைகளைச் சுமக்கப் பழைய காலத்தில் பயன்படுத்தப்பட்ட எருது .,,"பொதி எருது மாதிரி வளந்து என்ன பிரயோசனொ. | பொதி எருதாட்டம் வளந்துட்டானே தவிர,அறிவு கெடையாது .",பெயர்ச்சொல்,,,np | pm,
4086,பொதிமாடு,,potimāṭu,,காண்க : பொதி எருது .,,,பெயர்ச்சொல்,,,pm,
4087,பொசுவினித்தனம்,,bhojhuviṉidhdhaṉaṁ,,பொறாமைக் குணம் .,,பொசுவினித்தனம் மனுசனுக்கு ஆவாதுடா .,பெயர்ச்சொல்,,,pm,
4088,பொந்துவால் நரி,,pontuvāl nari,,மண்ணில்வளை பறித்து அதற்குள் வாழும் ஒருவகை நரி.,,பொந்துவால் நரியாட்டம் முட்டிக்கிட்டு வர்றான் .,பெயர்ச்சொல்,,,pm,
4089,பொம்பளச்சட்டி,,pompaḷaccaṭṭi,,பெண் தன்மை மிகுந்திருக்கும் ஆண் ; அலி .,,அவனோட பேச்சப்பாத்தா பொம்பளச் சட்டியாட்டம் தெரீது .,பெயர்ச்சொல்,,,pm,
4090,பொம்பாரொ,,pompāro,,பம்பரம்.,,பொம்பாரொக் கட்டை வெளையாடலா.,,,,np,
4091,பொம்மரம்,,pommaram,,பெண் காய்க்கும் பனைமரம் .,,பொம்மரத்துக் கள்ளுதான் ருசியா இருக்கும் .,பெயர்ச்சொல்,,,pm,
4092,பொய்க்காய்,,poykkāy,,உள்ள தேங்காய் ; நுங்கு .,,இந்தக் கொலையில மூனு பொய்க்காயி .,பெயர்ச்சொல்,,,pm,
4093,பொய்நிலை,,poynilai,,நெற்றிக்கும் கன்னத்திற்கும் இடையிலான நெற்றிப் பொட்டு .,,கல்லு கொஞ்சம் தவறி பொய் நெலையில் பட்டிருந்தா என்னாவறது .,பெயர்ச்சொல்,,,pm,
4094,பொய்மோடம்,,poymōṭam,,"மழை பெய்யாமல், வருவது போல ஏமாற்றிக் கலைந்துவி மேகக் கருக்கல்.",,வானம் சும்ம போடுது .,பெயர்ச்சொல்,,,pm,
4095,பொய்மோடொ,,poymōṭo,,மழைபெய்யாமல் வெறும் மேகமூட்டமாக இருந்து கலைதல்.,,பொய்மோடொ போட்டுருக்குது மழெ வராது.,,,,np,
4096,பொய்யேரி,,poyyēri,,வாய்க்கால் இல்லாத இடத்தில் ஏரிபோல் அமைந்த வரப்பு .,,அந்தப் பொய்யேரில ஆட்டமேயி .,பெயர்ச்சொல்,,,pm,
4097,பொரட்டாசிகெழமெ,,poraṭṭācikeḻame,,புரட்டாசி மாதத்தில் வரும் சனிக்கிழமை அன்று விரதமிருப்பது.,,நானு பொராட்டாசி கெழமெ புடிச்சிருக்கெ.,,,,np,
4098,பொரணி,,poraṇi,,பொறாமை பேசுதல்.,,இவனுக்கு பொரணி பேசறதே வேலயாப் போச்சு.,,,,np,
4099,பொருக்கு,,porukku,,"புண் காய்ந்ததும் மேல் பகுதியில் கருப்பாய் அடை போன்று கட்டி , உதிர்ந்துவிடும் தோல் பகுதி .",,பொருக்கு தானே உழுந்திரும் கிள்ளாத .,பெயர்ச்சொல்,,,pm,
4100,பொருப்பு,,poruppu,,"ஓலைக் கொட்டகை செம்மையாக , பார்வைக்கு அழக அமைதல் .",,கொட்டாயி நல்ல ப இருக்குது .,பெயர்ச்சொல்,,,pm,
4101,பொருமல்,,porumal,,சரியாக உணவு செரிக்காமல் வயிறு உப்பிப் போத,,வயித்துப் பொருமல் எப்படி இருக்குது .,பெயர்ச்சொல்,,,pm,
4102,பொருமலு,,porumalu,,உணவு செரிக்காமல் வயிறு உப்பசம்.,,வயிறு ஒரே பொருமலா இருக்குது.,,,,np,
4103,பொரெ,,pore,,பாலில் சிறிது தயிர் விட்டு பாலை தயிராக்குதல்.,,பாலெ பொரெ ஊத்தி வை.,,,,np,
4104,பொரெட்டு,,poreṭṭu,,புரட்டு.,,அந்தக் கல்லைப் பொரட்டிப் போடு.,,,,np,
4105,பொல்லி,பொலி,polli,poli,பொய் | இரண்டு நிலத்திற்கு இடையில் உள்ள வரப்பு. | இருவரின் நிலங்களைப் பிரிக்கும் வரப்பு .,,பொலி மேலெ பாரு கொத்து இருக்குது எடுத்துட்டு வா. | பொலியில ரண்டு வெலா சேத்து ஓட்டிருக்குது .,பெயர்ச்சொல்,human_behavior,,od | np | pm,
4106,பொவியிலை,,poviyilai,,புகையிலை,,,,food_cooking,,od,
4107,பொழக்கத்துலெ,,poḻakkattule,,புழக்கத்தில்.,,பத்து பைசா காசு பொழக்கத்துலேயே இல்ல.,,,,np,
4108,பொழங்குவது,,poḻaṅkuvatu,,பயன் படுத்துவது,,,,action_verbs,,od,
4109,பொழப்பு,,poḻappu,,வாழ்க்கை. தொழில்.,,இந்தப் பொழப்பு பொழக்கிறதுக்கு செத்துப் போலா. | வ வந்து வாசல்ல நின்னுக்கிட்டு வருட்டோ போவுட்டோங்குது . பொழப்பு போயி பொடக்காலியில நின்னுக்கிட்டு வருட்டோங்குது .,பெயர்ச்சொல்,,,np | pm,
4110,பொழப்புத்தனம்,,poḻapputtaṉam,,காண்க : பொழப்பு.,,,பெயர்ச்சொல்,,,pm,
4111,பொழிவாசிமா,,poḻivācimā,,ஒட்டுமொத்தமாக.,,,,,,np,
4112,பொழுதிருக்கறப்பவெ,,poḻutirukkaṟappave,,இரவு ஆவதற்கு முன்.,,வேலக்கிப் போயிட்டு பொழுதிருக்கறப்பவெ வந்துட்ட.,,,,np,
4113,பொழுதின்னிக்கி,,poḻutiṉṉikki,,பகல் முழுவதும்.,,பொழுதின்னிக்கி வெளயாண்டுட்டே இருக்காதெ படி.,,,,np,
4114,பொழுதுகெளம்ப,,poḻutukeḷampa,,அதிகாலையில்.,,பொழுது கெளம்ப இன்னுங் எங்கியோ போனவெ காணொ.,,,,np,
4115,பொழுதோட,,poḻutōṭa,,பொழுது சாயும் முன் | மாலை நேரத்தில் | மாலையில்.,,பொழுதோட அந்த வேலையை முடிக்கிறேன் | பொழுதோட சீக்கரொ வூட்டுக்கு வந்து சேரு.,,time_seasons,,od | np,
4116,பொழைக்காமெ வந்துட்டா,,poḻaikkāme vantuṭṭā,,வாழா வெட்டியாக வந்துவிட்டாள்.,,அவ புருசவீட்டுலருந்து பொழைக்காமெ வந்துட்டா.,,,,np,
4117,பொளந்துகட்டு,,poḷantukaṭṭu,,திட்டும் வார்த்தை.,,ரொம்பத் திமிரு பண்ணுன பொளந்து கட்டிருவ.,,,,np,
4118,பொறக்கடை,,poṟakkaṭai,,,,,,home_household,,od,
4119,பொறக்காண்ட,,poṟakkāṇṭa,,பின்னால் :,,பொறக்காண்ட திரும்பிப்பாரு.,வினைச்சொல்,,,pm,
4120,பொறங்கையி,,poṟaṅkaiyi,,புறங்கை.,,பொறங்கையி பாரு அழுக்கு புடிச்சுப் போயி இருக்குது.,,,,np,
4121,பொறத்தவெ,,poṟattave,,உடன்பிறந்தவர்.,,என்றெ பொறந்தவெ வூட்டுக்குப் போயிட்டு வர்ரெ.,,,,np,
4122,பொறத்தாண்ட,,poṟattāṇṭa,,காண்க : பொறக்காண்ட .,,,வினைச்சொல்,,,pm,
4123,பொறந்தவன்,பொறந்தவள்,poṟantavaṉ,poṟantavaḷ,உடன் பிறந்த சகோதரர் | சகோதரன்/சகோதரிஎன்ன பாப்பாயா...பொறந்தவனூட்டுக்கு கெளம்பீட்டாப்ல இருக்குது? | உடன் பிறந்த சகோதரரி | உடன் பிறந்த சகோதரி (தங்கை) | காண்க : பெறந்தவன் . | காண்க : பெறந்தவள் .,,,பெயர்ச்சொல்,kinship,,od | pm,
4124,பொறந்தவொ,,poṟantavo,,உடன்பிறந்தவள்.,,என்றெ பொறந்தவொ வூட்டுக்குப் போயிட்டு வந்தே.,,,,np,
4125,பொறப்போவுது,,poṟappōvutu,,"சாப்பிடும்போதோ, நீர் குடிக்கும்போதோ இருமுவது.",,பொறப்போவுது தலையில தட்டியுடு.,,,,np,
4126,பொறம்பாரம்,,poṟampāram,,வண்டியின் பின்பக்கப் பாரம் .,,பொறம்பாரம் எச்சாப் போயிடுச்சு .,பெயர்ச்சொல்,,,pm,
4127,பொறம்பு,,poṟampu,,கல் துகள்களும் நுணுங்காத கற்களும் கொண்ட கிணறு .,,கெணறுவெட்டி என்ன பண்றது பொறம்பாப் போச்சே .,பெயர்ச்சொல்,,,pm,
4128,பொறவாசல்,,poṟavācal,,,,,,home_household,,od,
4129,பொறவாடி,,poṟavāṭi,,பின்னால்.,,உன்ற பொறவாடி தெ நிக்கிறம் பாரு.,,,,np,
4130,பொறவால,,poṟavāla,,பின்னாலே,,,,speech_phrase,,od,
4131,பொறவு,,poṟavu,,"அப்புறம் | பிறகு, பேந்து | காண்க. பொறவாடி.",,கடைக்கு பொறவு போறேன்,,home_household,,od | np,
4132,பொறி,,poṟi,,"பறவை இறகு , சேலை , பிற துணிகள் போன்றவற்றில் இருக்கும் புள்ளிகள் நிறைந்த தன்மை ; ஒரு வகை டிசைன் .",,சட்டத்துணிபொறிப்பொறியா இருக்குது .,பெயர்ச்சொல்,,,pm,
4133,பொறிக்கோழி,,poṟikkōḻi,,பொறிப்பொறியான இறக்கையை கொண்ட கோழி. | பொறிப் பொறியான இறக்கையைக் கொண்ட கோழி .,,பொறிக் கோழி பாரு அழகா போகுது. | அந்தப் பொறிக்கோழியத் தொரத்திப் புடி .,பெயர்ச்சொல்,,,np | pm,
4134,பொறியோடு,,poṟiyōṭu,,பயிறு வகைகளை வறுப்பதற்கு உதவும் ( பெரிய வாணலி போன்ற ) வாயகன்ற மண்பாண்டம் .,,பொறியோடு சும்மாகாயுது . பயிரக் கொடு .,பெயர்ச்சொல்,,,pm,
4135,பொறுகினித்தனம்,,poṟukiṉittaṉam,,பொறாமைக் குணம்.,,பொறுகினித்தனம் புடிச்சுத் திரியறான்.,,,,np,
4136,பொறை,,poṟai,,கண்ணில் சதை வளரும் ஒரு படலம். | பீரோவுக்குள் அடைப்புடன் இருக்கும் மேல்பகுதி . | (1) | கண்ணில் கட்டும் படலம் . | (2) | முன்னிரவு நேரம் . | (3) | பால் தயிராகத் துவைவதற்கு ஊற்றும் சிறிதளவு தயிர் அல்லது மோர் ; உறை .(4),,கண்ணு பொறைமூடியிருக்குது. | பொறையத் தொறந்து பாரு . | கண்ணுல பொற கட்டுது. | ஊட்டுக்குப் பொறைக்கு வாரேன் . | கொஞ்சம் பொறை இருந்தாக் குடு. எருமைக்குப் போடு.,பெயர்ச்சொல்,,,np | pm,
4137,பொறை மோர்,,poṟai mōr,,காண்க : பொறை .,,,பெயர்ச்சொல்,,,pm,
4138,பொறையூத்தறது,,poṟaiyūttaṟatu,,காண்க. பொரை.,,,,,,np,
4139,பொன்தாறி வெக்கிறது,,poṉtāṟi vekkiṟatu,,கொங்கு வேளாளக் கவுண்டரில் பெரிய குலத்தார் தங்களது மூத்த மகளை பொன்னுஞ்சலில் வைத்து சீர் நடத்துவர்.,,,,,,np,
4140,பொன்னாம்பூச்சி,,poṉṉāmpūcci,,பொன்வண்டு,,பொன்னாம்பூச்சி பறக்குது பாரு. | பொன்னாம்பூச்சி புடிக்கப் போறான் .,பெயர்ச்சொல்,nature_animals,,od | np | pm,
4141,போக்கடா,,pōkkaṭā,,பலமில்லாதவன் ; எதற்கும் பயனற்றவன் .,,"சும்மா கெடக்கற போக்கடா , சுடுகாட்டு வெரைக்கும் தூக்கடா",பெயர்ச்சொல்,,,pm,
4142,போக்கத்தவள் / ன்,,pōkkattavaḷ / ṉ,,திட்டுச்சொல். வாழ வழி ஏதும் அற்றவள் / ன் .,,என்னயப் போக்கத்தவன்னு நெனச்சியா .,பெயர்ச்சொல்,,,pm,
4143,போக்கிடம்,,pōkkiṭam,,புகலிடம் .,,எங்களுக்குப் போக்கிடமேது .,பெயர்ச்சொல்,,,pm,
4144,போக்கியொ,,pōkkiyo,,கொடுத்த பணத்திற்கு வட்டி இல்லை. உழுத நிலத்திற்கு பணம் இல்லை என ஒப்பந்தம் செய்தல்.,,எங்கெ காட்டெ போக்கியத்துக்கு உட்ருகீகுறம்.,,,,np,
4145,போக்குவரத்து,,pōkkuvarattu,,திருமணம் நிச்சயிக்கப்படும் முன் அதே சமயம் உறுதியான பின்பு நடத்தப்படும் வைபவம்,,வாங்க பழகலாம் முறையில்,,festival_religion,,od,
4146,போகுட்டுங்களா,,pōkuṭṭuṅkaḷā,,கிளம்புவதற்கு முன் சொல்லும் வார்த்தை.,,அப்பெ நா போகுட்டுங்களா.,,,,np,
4147,போகுமாட்டொ,,pōkumāṭṭo,,போயிற்று போல தெரிகிறது.,,எங்கியோ போகுமாட்டோ இருக்கு.,,,,np,
4148,போகுமாட்டோ இருக்கு,,pōkumāṭṭō irukku,,காண்க. போகுமாட்டொ.,,,,,,np,
4149,போகொட,,pōkoṭa,,விளையும் காலம்.,,முப் போகொ நல்லெ வெளச்சலு.,,,,np,
4150,போங்காலம்,,pōṅkālam,,அழிவுகாலம் ; அழிந்து போவதற்கான காலம் .,,அவனுக்குப் போங்காலம் வந்திருச்சு .,பெயர்ச்சொல்,,,pm,
4151,போச்சாது,,pōccātu,,"""பரவாயில்லை விடு"" என்பது போல | அழும் குழந்தையைச் சமாதானப்படுத்தும் சொல் .",,ஏதாவது பொருள் தொலைந்து விடும் பட்சத்தில் போச்சாது விடு என்று ஆறுதல் படுத்துவார்கள் | எங்கண்ணுல்ல..... போச்சாதுடா.,பெயர்ச்சொல்,nature_animals,போய்ச் சாகிறது என்ற சொல் இப்படி மாறி இருக்கலாம் என்பது என் தீர்மானம்,od | pm,
4152,போசி,,pōci,,பாத்திரம் | சிறிய அளவான பாத்திரங்கள் (அ),,,,home_household,,od,
4153,போணி,,pōṇi,,"உருளை வடிவ பாத்திரம். | நீர்மைத் தன்மையுள்ளவற்றை (நீராகாரம் , தண்ணீர் ) எடுக்க உதவும் உருளை வடிவப் பாத்திரம் .",,போணில தண்ணி ஊத்தி வை. | போணியில் கொஞ்சம் நீத்தண்ணி கரச்சா .,பெயர்ச்சொல்,,,np | pm,
4154,போத்தாகிலை,,pōttākilai,,புகையிலை.,,ஒரு துண்டு போத்தாகிலை வாங்கிவா.,,,,np,
4155,போத்தாலை,,pōttālai,,புகையிலை,,ஒரு துண்டு போத்தால குடு .,பெயர்ச்சொல்,food_cooking,,od | pm,
4156,போத்து,,pōttu,,கரும்புப் பயிரின் பக்கவாட்டில் வரும் இனி கிளைத்து வரும் பயிர் . | (1) | தழைவதற்காக வெட்டி நடப்படும் கிளை.(2),,அந் | முருங்கைக்கு ஒரு போத்து நடோணும் .,பெயர்ச்சொல்,,,pm,
4157,போதாக்குறை,,pōtākkuṟai,,பற்றாக்குறை.,,சோத்துக்கே போதாக்கொறையா இருக்குது .,பெயர்ச்சொல்,,,pm,
4158,போதாக்கொறெ,,pōtākkoṟe,,பற்றாக்குறை.,,எனக்கே போதாக்கொறெயா இருக்குது.,,,,np,
4159,போதிச்சுப் போ (தல் ),,pōticcup pō (tal ),,"மழை , வெயிலில் கிடந்த மரம் கனம் குறைந்து அடர்த்தியற்றுப் போதல்.",,ரொம்ப நாளாப போட்டு வெச்சு மரம் போதிச்சுப் போச்சு .,வினைச்சொல்,,,pm,
4160,போப்பு வண்டி,,pōppu vaṇṭi,,வாடகை மாட்டு வண்டி .,,இப்பவெல்லாம் போப்பு வண்டியே கொறஞ்சு போச்சு.,பெயர்ச்சொல்,,,pm,
4161,போமாட்டெ,,pōmāṭṭe,,போகமாட்டேன்.,,நா போமாட்டெம் போ.,,,,np,
4162,போயரப்படாது,,pōyarappaṭātu,,போய்விடக்கூடாது.,,நானு வர்ற வரைக்கி இங்கியே இருக்கோனு போயிடக்கூடாது செரியா.,,,,np,
4163,போர் போடுதல்,,pōr pōṭutal,,"விளைந்த கொடி, தட்டுகள், இலை தழைகள் அனைத்தையும் சேமித்து வைக்கப் போடும் அரண்",,,வினைச்சொல்,home_household,,od,
4164,போலீன்னா,,pōlīṉṉā,,போகவில்லையென்றால்.,,நீ போலீன்னா நா போயிக்கறெ.,,,,np,
4165,போலுத்தப்பை,,pōluttappai,,வண்டியின் முன்புறம் பக்கங்களிலும் போடப்பட்டிருக்கும் உட்குழிவான மரச்சட்டம் .,,போலுத்தப்ப மேல ஏறி உக்கோந்துக்கிட்டான் .,பெயர்ச்சொல்,,,pm,
4166,போவணி,,pōvaṇi,,காண்க : போணி .,,,பெயர்ச்சொல்,,,pm,
4167,போழெ,,pōḻe,,அழுக்குக்கூடை. காண்க.,,,,,,np,
4168,போழை,,pōḻai,,பணம் வைத்துக் கொள்ளும் சிறு பை ( பர்ஸ்) .,,போழைய எடுத்து மடியில வெச்சுக்க .,பெயர்ச்சொல்,,,pm,
4169,போழைப்பொட்டி,,pōḻaippoṭṭi,,பொருள்கள் போட்டு மூடு வைத்துக் கொள்ளும் பிரம்புப் பெட்டி .,,போழப்பொட்டி ஒன்னு வாங்குனா நல்லது .,பெயர்ச்சொல்,,,pm,
4170,போன எட்டு,,pōṉa eṭṭu,,சென்ற வாரம் .,,போன எட்டு சந்தைக்கிப்போனயா .,பெயர்ச்சொல்,,,pm,
4171,போனவாட்டி,,pōṉavāṭṭi,,முந்தைய தடவை.,,போனவாட்டி உன்ன பாத்தது.,,,,np,
4172,போனாக்கா,,pōṉākkā,,போனால்.,,போனாக்கா போகுட்டு.,,,,np,
4173,போனாம்போக்கி,,pōṉāmpōkki,,"தானியத்தைத் தூற்றும்போது காற்றில் செல்பவை . | (1) | திட்டுச்சொல் . திக்கறவள் / ன், ஊர்சுற்றி, ஒன்றுக்கும் உதவாதவள் / ன்.(2)",,இந்தத் தடவை நெறையப் போனாம் போக்கியாப் போச்சு . | இந்தப்போனாம் போக்கியக் கட்டிக்கிட்டு அழுவ வேண்டீதா இருக்குது .,பெயர்ச்சொல்,,,pm,
4174,மக்கமாரு,,makkamāru,,வாரிசுகள்.,,உனுக்கு மக்கமாரு எத்தனை பேரு.,,,,np,
4175,மக்கரி,,makkari,,,,,,home_household,,od,
4176,மக்காணி,,makkāṇi,,மக்காச்சோளம்.,,இந்த வருசம் மக்காணி எத்தனெ மூட்டெ ஆச்சு.,,,,np,
4177,மக்காநாளு,,makkānāḷu,,அடுத்த நாள்,,மக்கா நாளு வரனு சொல்லு.,,time_seasons,,od | np,
4178,மக்கியா நாள்,,makkiyā nāḷ,,அடுத்த நாள் .,,கலியாணத்துக்கு மக்கியா நாளுத்தான் வந்தான் .,பெயர்ச்சொல்,,,pm,
4179,மக்கிரி,மக்கிலி,makkiri,makkili,கூடை | பெரிய கூடை | மக்கிரி | உழவு வேலைகளுக்குப் பயன்படும் கூடை. | உழவு வேல அள்ளி வ,,6கூடை-1மக்கிரி | மக்கிரியெ எடுத்துவா. | மக்கிரியை எங்க எடுத்தோர.,பெயர்ச்சொல்,food_cooking,,od | np | pm,
4180,மக்கிரிக் கூடை,,makkirik kūṭai,,காண்க : மக்கிரி,,,பெயர்ச்சொல்,,,pm,
4181,மக்கிளித்தல்,,makkiḷittal,,செய்து கொண்ட ஒப்பந்தத்தை மீறுதல் ; மறுதலித்தல் . | (1) | கீழே விழுந்து அடிபடுவதால் எலும்பு இடம் மாறுதல் .(2),,நா மக்கிளிச்சன்னா கால்ல இருக்கறதக் கழட்டி | உழுந்தராதடா கையில மக்கிளிச்சிக்கும் .,வினைச்சொல்,,,pm,
4182,மகடம்,,makaṭam,,கண்ணில் விழும் திரை .,,கண்ணுல மகடமாட்டந் தெரீது .,பெயர்ச்சொல்,,,pm,
4183,மகுட்டியட்ருச்சு,,makuṭṭiyaṭruccu,,திரும்பும்படி தடுக்கி விழுதல்.,,மகுட்டியுட்டு உழுந்து நெத்தியிலெ அடிபட்ருச்சு.,,,,np,
4184,மகுடம்,,makuṭam,,கண்ணில் விழும் திரை,,,,home_household,,od,
4185,மங்கண்டம்,,maṅkaṇṭam,,ஆழமான பகுதியில் பாறை இல்லாமல் மணல் உள்ள பகுதி. | ஆழத்தில் பாறைகள் இல்லாத முழுக்க முழுக்க நிலப்பகுதி .,,ஆழம் போகப்போக மங்கண்டமா இருக்குது. | வெட்ட வெட்ட மங்கண்டமாத்தான் வருது .,பெயர்ச்சொல்,,,np | pm,
